 ,Area,Mean,Min,Max,X,Y
1,0.000,4,4,4,235.272,47.921
2,0.000,0,0,0,284.406,530.337
3,0.000,0,0,0,57.453,124.352
4,0.000,9,9,9,118.546,186.658
5,0.000,4,4,4,101.388,173.139
6,0.000,10,10,10,94.629,167.940
7,0.000,7,7,7,89.949,158.581
8,0.000,25,25,25,76.951,138.823
9,0.000,3,3,3,83.190,126.865
10,0.000,0,0,0,94.629,134.144
11,0.000,0,0,0,93.589,145.063
12,0.000,12,12,12,113.866,170.020
13,0.000,7,7,7,124.265,172.100
14,0.000,5,5,5,143.243,150.002
15,0.000,8,8,8,136.657,142.896
16,0.000,15,15,15,136.830,122.792
17,0.000,0,0,0,121.925,134.231
18,0.000,9,9,9,132.671,106.847
19,0.000,6,6,6,111.527,99.741
20,0.000,0,0,0,102.168,144.456
21,0.000,1,1,1,125.218,157.975
